_id	Tarih	Omerli	Darlik	Elmali	Terkos	Alibey	Buyukcekmece	Sazlidere	Kazandere	Pabucdere	Istrancalar
824	2013-03-04T00:00:00	92,40%	84,86%	96,56%	98,83%	90,93%	95,02%	68,51%	94,71%	94,99%	99,96%
825	2013-04-04T00:00:00	92,56%	85,07%	96,46%	99,22%	91,35%	95,40%	68,42%	93,56%	93,85%	99,97%
826	2013-05-04T00:00:00	92,89%	85,23%	96,88%	98,63%	91,67%	95,40%	68,42%	93,56%	93,85%	99,95%
827	2013-06-04T00:00:00	92,89%	85,34%	96,88%	98,44%	92,20%	95,40%	68,69%	93,56%	93,85%	99,95%
828	2013-07-04T00:00:00	92,97%	85,44%	96,67%	98,24%	92,52%	95,40%	68,69%	93,56%	93,85%	99,95%
829	2013-08-04T00:00:00	92,97%	85,55%	96,67%	98,63%	92,84%	95,79%	68,87%	93,79%	94,08%	99,96%
830	2013-09-04T00:00:00	93,05%	85,66%	96,56%	99,02%	93,70%	95,79%	69,06%	94,48%	94,76%	99,95%
831	2013-10-04T00:00:00	93,22%	85,71%	96,46%	98,44%	94,34%	95,79%	69,06%	94,89%	95,16%	99,98%
832	2013-11-04T00:00:00	93,22%	85,82%	96,35%	98,44%	94,77%	95,79%	69,16%	95,07%	95,33%	99,98%
833	2013-12-04T00:00:00	93,22%	85,98%	96,25%	98,63%	95,31%	95,98%	69,36%	95,16%	95,41%	99,98%
834	2013-04-13T00:00:00	93,22%	86,03%	96,25%	97,85%	95,53%	95,79%	69,45%	95,25%	95,49%	99,97%
835	2013-04-14T00:00:00	93,14%	86,14%	96,04%	97,85%	95,85%	95,79%	69,55%	95,42%	95,66%	99,97%
836	2013-04-15T00:00:00	93,22%	86,24%	95,94%	97,27%	96,07%	95,79%	69,65%	95,60%	95,83%	99,99%
837	2013-04-16T00:00:00	93,22%	86,30%	95,83%	97,66%	96,39%	95,79%	69,65%	97,11%	97,26%	99,96%
838	2013-04-17T00:00:00	93,38%	86,30%	95,83%	97,27%	97,16%	95,79%	69,65%	97,11%	97,26%	99,97%
839	2013-04-18T00:00:00	93,38%	86,40%	95,52%	97,07%	97,59%	95,40%	69,65%	97,64%	97,76%	99,80%
840	2013-04-19T00:00:00	93,30%	86,46%	95,31%	96,68%	97,92%	95,40%	69,65%	97,64%	97,76%	99,62%
841	2013-04-20T00:00:00	93,38%	86,56%	95,21%	96,49%	98,25%	95,40%	69,85%	97,64%	97,76%	98,71%
842	2013-04-21T00:00:00	93,38%	86,72%	94,90%	96,49%	99,45%	95,40%	69,65%	98,78%	98,84%	97,67%
843	2013-04-22T00:00:00	93,38%	86,77%	94,79%	96,88%	100,00%	95,02%	69,85%	99,02%	99,07%	96,59%
844	2013-04-23T00:00:00	93,47%	86,83%	94,63%	96,10%	100,00%	95,02%	69,95%	99,02%	99,07%	95,13%
845	2013-04-24T00:00:00	93,47%	86,93%	94,54%	96,49%	100,00%	95,02%	69,85%	99,15%	99,19%	91,09%
846	2013-04-25T00:00:00	93,38%	87,04%	94,38%	96,10%	100,00%	94,64%	69,95%	99,63%	99,65%	88,17%
847	2013-04-26T00:00:00	93,38%	87,15%	94,38%	96,10%	100,00%	94,64%	69,95%	99,76%	99,77%	87,40%
848	2013-04-27T00:00:00	93,38%	87,20%	94,21%	95,91%	99,78%	94,64%	69,95%	99,76%	99,77%	86,07%
849	2013-04-28T00:00:00	93,30%	87,25%	94,13%	96,10%	99,56%	94,25%	70,05%	99,63%	99,65%	84,41%
850	2013-04-29T00:00:00	93,30%	87,31%	93,88%	95,52%	99,34%	94,25%	70,05%	99,63%	99,65%	82,85%
851	2013-04-30T00:00:00	93,05%	87,36%	93,46%	95,52%	98,57%	94,25%	70,05%	99,63%	99,65%	81,92%
852	2013-01-05T00:00:00	92,97%	87,41%	93,04%	95,72%	97,26%	93,88%	69,95%	99,27%	99,31%	80,91%
853	2013-02-05T00:00:00	92,89%	87,41%	92,88%	95,72%	96,94%	93,88%	69,65%	98,67%	98,73%	79,91%
854	2013-03-05T00:00:00	92,72%	87,41%	92,71%	95,33%	96,50%	93,50%	69,65%	97,87%	97,98%	78,94%
855	2013-04-05T00:00:00	92,64%	87,41%	92,29%	95,33%	96,29%	93,50%	69,45%	97,87%	97,98%	77,88%
856	2013-05-05T00:00:00	92,48%	87,47%	92,04%	95,33%	96,18%	93,13%	69,16%	96,90%	97,06%	75,84%
857	2013-06-05T00:00:00	92,31%	87,47%	91,88%	94,94%	95,96%	93,13%	69,16%	96,48%	96,67%	73,47%
858	2013-07-05T00:00:00	92,23%	87,52%	91,71%	94,94%	95,64%	92,75%	68,97%	96,09%	96,30%	70,20%
859	2013-08-05T00:00:00	92,15%	87,52%	91,04%	95,14%	95,42%	92,75%	68,87%	95,80%	96,02%	67,60%
860	2013-09-05T00:00:00	91,99%	87,57%	90,88%	94,36%	95,10%	92,37%	68,87%	95,60%	95,83%	65,76%
861	2013-10-05T00:00:00	91,99%	87,52%	90,63%	94,36%	94,88%	92,37%	68,60%	95,33%	95,58%	63,70%
862	2013-11-05T00:00:00	91,82%	87,52%	90,29%	94,36%	94,56%	92,00%	68,51%	95,07%	95,33%	61,41%
863	2013-12-05T00:00:00	91,74%	87,52%	89,79%	94,36%	94,45%	92,00%	68,32%	94,89%	95,16%	57,28%
864	2013-05-13T00:00:00	91,66%	87,52%	89,71%	94,17%	94,24%	91,62%	68,23%	94,71%	94,99%	55,62%
865	2013-05-14T00:00:00	91,58%	87,57%	89,54%	93,79%	93,91%	91,62%	68,05%	94,71%	94,99%	53,41%
866	2013-05-15T00:00:00	91,66%	87,63%	89,29%	93,98%	94,24%	91,62%	68,14%	94,48%	94,76%	51,56%
867	2013-05-16T00:00:00	91,66%	87,68%	89,79%	93,59%	94,34%	91,62%	68,14%	94,13%	94,42%	52,07%
868	2013-05-17T00:00:00	91,66%	87,73%	89,71%	93,59%	94,02%	91,25%	68,14%	93,56%	93,85%	46,24%
869	2013-05-18T00:00:00	91,66%	87,73%	89,54%	93,21%	93,91%	91,25%	67,89%	93,13%	93,43%	43,71%
870	2013-05-19T00:00:00	91,58%	87,79%	89,38%	93,02%	93,70%	90,87%	68,05%	92,70%	93,00%	41,22%
871	2013-05-20T00:00:00	91,41%	87,79%	89,21%	92,83%	93,38%	90,87%	67,72%	92,48%	92,79%	38,51%
872	2013-05-21T00:00:00	91,25%	87,79%	88,63%	92,63%	92,95%	90,50%	67,46%	92,18%	92,49%	36,22%
873	2013-05-22T00:00:00	91,09%	87,79%	88,38%	92,44%	92,52%	90,12%	67,29%	91,68%	92,00%	34,21%
874	2013-05-23T00:00:00	91,01%	87,73%	88,13%	92,06%	92,31%	90,12%	67,29%	91,11%	91,44%	31,96%
875	2013-05-24T00:00:00	90,92%	87,52%	87,96%	92,25%	91,99%	89,37%	67,14%	90,56%	90,89%	29,91%
876	2013-05-25T00:00:00	90,76%	87,41%	87,46%	91,30%	91,56%	88,99%	66,83%	90,14%	90,48%	29,78%
877	2013-05-26T00:00:00	90,52%	87,09%	87,21%	90,92%	91,25%	88,99%	66,59%	89,72%	90,06%	29,51%
878	2013-05-27T00:00:00	90,44%	86,88%	86,96%	90,92%	90,82%	88,62%	66,41%	89,05%	89,39%	29,82%
879	2013-05-28T00:00:00	90,27%	86,77%	86,24%	90,72%	90,29%	88,24%	66,21%	88,41%	88,74%	29,94%
880	2013-05-29T00:00:00	90,11%	86,56%	86,09%	90,53%	89,76%	88,24%	66,01%	87,89%	88,22%	30,13%
881	2013-05-30T00:00:00	90,03%	86,35%	85,66%	90,15%	89,24%	87,87%	65,91%	87,39%	87,71%	30,41%
882	2013-05-31T00:00:00	89,88%	86,19%	85,44%	89,77%	88,61%	87,49%	65,81%	86,82%	87,13%	30,49%
883	2013-01-06T00:00:00	89,81%	85,92%	85,22%	89,58%	88,19%	87,11%	65,32%	86,36%	86,67%	30,49%
884	2013-02-06T00:00:00	89,67%	85,66%	84,78%	89,02%	87,88%	86,74%	65,23%	85,92%	86,22%	30,67%
885	2013-03-06T00:00:00	89,59%	85,60%	84,64%	88,64%	87,67%	86,36%	65,04%	85,34%	85,64%	31,65%
886	2013-04-06T00:00:00	89,52%	85,34%	84,20%	88,45%	87,35%	86,36%	64,95%	84,93%	85,23%	32,33%
887	2013-05-06T00:00:00	89,38%	85,23%	83,98%	88,26%	87,04%	85,99%	64,76%	84,40%	84,68%	32,88%
888	2013-06-06T00:00:00	89,30%	85,07%	83,69%	87,88%	86,52%	85,61%	64,67%	83,68%	83,93%	33,65%
889	2013-07-06T00:00:00	89,13%	84,91%	83,54%	87,69%	86,00%	85,61%	64,40%	83,09%	83,31%	33,44%
890	2013-08-06T00:00:00	89,04%	84,65%	83,03%	88,07%	85,59%	85,24%	64,31%	82,62%	82,82%	33,51%
891	2013-09-06T00:00:00	88,95%	84,54%	82,89%	87,32%	85,17%	84,86%	64,22%	82,43%	82,63%	32,60%
892	2013-10-06T00:00:00	88,77%	84,33%	82,59%	87,13%	84,45%	84,48%	63,87%	81,98%	82,16%	31,76%
893	2013-11-06T00:00:00	88,68%	84,06%	82,08%	86,56%	83,74%	84,11%	63,79%	81,38%	81,55%	30,87%
894	2013-12-06T00:00:00	88,50%	83,90%	82,01%	86,38%	83,12%	83,73%	63,62%	81,13%	81,28%	29,38%
895	2013-06-13T00:00:00	88,41%	83,74%	81,50%	86,56%	82,92%	83,73%	63,38%	81,13%	81,28%	28,49%
896	2013-06-14T00:00:00	88,25%	83,58%	81,35%	86,38%	82,72%	83,36%	63,46%	80,74%	80,88%	29,32%
897	2013-06-15T00:00:00	88,50%	83,37%	81,50%	89,77%	82,61%	83,36%	63,22%	80,43%	80,56%	67,05%
898	2013-06-16T00:00:00	88,59%	83,21%	81,35%	91,11%	82,51%	82,98%	63,14%	80,36%	80,48%	62,53%
899	2013-06-17T00:00:00	88,59%	83,10%	82,38%	92,06%	82,51%	82,98%	63,06%	80,36%	80,48%	56,60%
900	2013-06-18T00:00:00	88,50%	82,89%	81,72%	91,87%	82,41%	82,61%	62,68%	80,07%	80,16%	51,70%
901	2013-06-19T00:00:00	88,33%	82,68%	80,63%	91,68%	81,90%	82,23%	62,53%	79,49%	79,51%	49,17%
902	2013-06-20T00:00:00	88,25%	82,46%	79,97%	90,92%	81,80%	81,85%	62,38%	78,50%	78,40%	48,10%
903	2013-06-21T00:00:00	88,09%	82,25%	79,82%	90,92%	81,70%	81,48%	62,16%	78,50%	78,40%	47,64%
904	2013-06-22T00:00:00	87,93%	82,04%	79,31%	90,53%	81,60%	81,10%	62,06%	78,09%	77,94%	47,37%
905	2013-06-23T00:00:00	87,61%	81,83%	78,85%	90,34%	81,29%	80,73%	61,87%	77,59%	77,39%	46,02%
906	2013-06-24T00:00:00	87,45%	81,61%	78,35%	90,15%	80,99%	80,35%	61,77%	77,05%	76,78%	45,09%
907	2013-06-25T00:00:00	87,29%	81,40%	78,23%	90,15%	80,69%	79,98%	61,38%	76,55%	76,22%	43,46%
908	2013-06-26T00:00:00	86,89%	81,13%	77,85%	89,77%	79,98%	79,60%	61,18%	76,20%	75,82%	40,03%
909	2013-06-27T00:00:00	86,65%	81,03%	77,73%	89,40%	79,48%	79,22%	60,73%	75,53%	75,09%	38,12%
910	2013-06-28T00:00:00	86,33%	80,76%	77,48%	89,40%	78,98%	79,22%	60,46%	74,79%	74,28%	36,96%
911	2013-06-29T00:00:00	86,09%	80,50%	76,92%	88,83%	78,58%	78,47%	60,46%	74,18%	73,60%	35,87%
912	2013-06-30T00:00:00	85,78%	80,34%	76,67%	88,64%	78,19%	78,10%	60,02%	73,51%	72,87%	34,46%
913	2013-01-07T00:00:00	85,62%	80,23%	76,92%	88,64%	77,99%	78,10%	59,94%	72,74%	72,03%	33,25%
914	2013-02-07T00:00:00	85,38%	79,96%	76,73%	88,07%	77,59%	77,72%	59,51%	72,25%	71,49%	31,75%
915	2013-03-07T00:00:00	85,06%	79,75%	76,48%	87,69%	77,29%	77,35%	59,20%	71,73%	70,95%	30,24%
916	2013-04-07T00:00:00	84,83%	79,48%	76,10%	88,07%	76,70%	76,97%	58,96%	71,21%	70,43%	29,11%
917	2013-05-07T00:00:00	84,59%	79,33%	75,54%	87,51%	76,11%	76,59%	59,04%	70,62%	69,84%	27,48%
918	2013-06-07T00:00:00	84,35%	79,11%	75,60%	87,51%	74,74%	76,22%	58,65%	70,04%	69,26%	25,77%
919	2013-07-07T00:00:00	84,12%	78,90%	75,29%	87,51%	73,57%	76,22%	58,58%	68,31%	67,54%	24,22%
920	2013-08-07T00:00:00	83,80%	78,74%	75,17%	87,13%	72,51%	75,84%	58,44%	67,78%	67,01%	23,04%
921	2013-09-07T00:00:00	83,49%	78,58%	74,54%	86,56%	71,54%	75,47%	58,01%	67,25%	66,48%	21,85%
922	2013-10-07T00:00:00	83,10%	78,31%	74,23%	86,38%	70,68%	75,10%	57,75%	66,66%	65,87%	20,60%
923	2013-11-07T00:00:00	82,79%	78,10%	73,98%	86,19%	70,30%	74,73%	57,75%	65,82%	65,01%	20,12%
924	2013-12-07T00:00:00	82,55%	77,89%	73,60%	86,00%	69,83%	74,37%	57,46%	65,20%	64,38%	20,47%
925	2013-07-13T00:00:00	82,16%	77,73%	73,17%	85,63%	69,07%	74,00%	57,08%	63,98%	63,14%	20,72%
926	2013-07-14T00:00:00	81,93%	77,52%	72,79%	85,44%	68,60%	73,63%	56,99%	63,25%	62,39%	20,94%
927	2013-07-15T00:00:00	81,46%	77,20%	72,42%	85,07%	67,75%	73,26%	56,64%	62,30%	61,60%	21,14%
928	2013-07-16T00:00:00	81,15%	76,98%	72,17%	85,44%	66,91%	72,90%	56,29%	61,42%	60,86%	21,39%
929	2013-07-17T00:00:00	80,84%	76,88%	72,04%	84,69%	66,26%	72,53%	56,03%	60,60%	60,18%	21,75%
930	2013-07-18T00:00:00	80,61%	76,56%	71,73%	84,32%	65,42%	72,16%	55,70%	59,84%	59,55%	22,18%
931	2013-07-19T00:00:00	80,30%	76,40%	71,29%	84,32%	64,96%	71,80%	55,54%	58,28%	58,19%	22,59%
932	2013-07-20T00:00:00	80,07%	76,08%	70,98%	83,95%	64,59%	71,43%	55,37%	58,28%	58,19%	21,90%
933	2013-07-21T00:00:00	79,84%	75,92%	70,17%	83,58%	63,77%	71,06%	54,99%	57,71%	57,69%	20,96%
934	2013-07-22T00:00:00	79,60%	75,71%	70,04%	83,39%	63,40%	70,70%	54,91%	57,10%	57,14%	19,92%
935	2013-07-23T00:00:00	79,30%	75,44%	69,60%	82,65%	62,67%	70,33%	54,46%	56,17%	56,30%	18,55%
936	2013-07-24T00:00:00	78,99%	75,17%	69,48%	82,46%	61,95%	69,96%	54,26%	55,59%	55,78%	17,58%
937	2013-07-25T00:00:00	78,68%	75,02%	69,35%	82,65%	61,59%	69,59%	54,12%	55,06%	55,31%	16,46%
938	2013-07-26T00:00:00	78,45%	74,75%	69,10%	82,28%	60,69%	69,23%	53,84%	54,30%	54,64%	17,25%
939	2013-07-27T00:00:00	78,30%	74,59%	68,73%	81,54%	60,33%	68,86%	53,57%	53,43%	53,89%	17,66%
940	2013-07-28T00:00:00	78,07%	74,38%	67,73%	81,72%	59,53%	68,49%	53,38%	52,85%	53,37%	18,21%
941	2013-07-29T00:00:00	77,92%	74,11%	66,79%	80,98%	58,82%	68,13%	53,02%	52,23%	52,83%	18,60%
942	2013-07-30T00:00:00	77,76%	73,95%	66,67%	80,80%	58,20%	67,76%	52,84%	51,66%	52,33%	19,08%
943	2013-07-31T00:00:00	77,61%	73,68%	66,48%	80,43%	57,58%	67,39%	52,67%	50,94%	51,74%	19,50%
944	2013-01-08T00:00:00	77,38%	73,58%	66,48%	80,62%	56,88%	67,03%	52,24%	49,92%	51,24%	20,06%
945	2013-02-08T00:00:00	77,08%	73,37%	67,29%	79,88%	57,06%	66,66%	51,91%	49,14%	50,70%	20,92%
946	2013-03-08T00:00:00	76,77%	73,10%	67,17%	79,88%	56,88%	66,29%	51,76%	48,42%	50,20%	21,37%
947	2013-04-08T00:00:00	76,55%	72,83%	66,60%	79,70%	56,27%	65,93%	51,44%	48,09%	49,72%	21,74%
948	2013-05-08T00:00:00	76,24%	72,41%	66,35%	78,97%	56,01%	65,56%	51,28%	47,76%	49,17%	22,21%
949	2013-06-08T00:00:00	76,01%	72,14%	65,85%	78,60%	55,40%	65,19%	51,06%	46,89%	48,39%	22,68%
950	2013-07-08T00:00:00	75,71%	71,82%	65,67%	78,42%	54,63%	64,46%	50,70%	46,25%	47,53%	22,87%
951	2013-08-08T00:00:00	75,41%	71,50%	65,42%	78,05%	54,03%	64,09%	50,48%	45,34%	47,09%	23,05%
952	2013-09-08T00:00:00	75,26%	71,18%	65,10%	77,87%	53,77%	64,09%	50,35%	44,33%	46,03%	23,31%
953	2013-10-08T00:00:00	74,96%	70,92%	64,98%	77,69%	53,51%	63,72%	50,28%	43,43%	45,14%	23,64%
954	2013-11-08T00:00:00	74,81%	70,65%	64,60%	76,96%	53,26%	63,36%	50,15%	42,57%	44,36%	23,75%
955	2013-12-08T00:00:00	74,43%	70,28%	64,29%	76,96%	52,83%	62,99%	49,95%	41,70%	43,82%	24,00%
956	2013-08-13T00:00:00	74,13%	69,91%	63,73%	76,42%	52,49%	62,62%	49,52%	41,04%	43,27%	24,20%
957	2013-08-14T00:00:00	73,46%	69,64%	63,60%	76,05%	51,73%	61,89%	49,35%	40,20%	42,70%	24,40%
958	2013-08-15T00:00:00	73,23%	69,32%	63,04%	76,24%	51,23%	61,89%	48,99%	38,98%	42,02%	24,62%
959	2013-08-16T00:00:00	72,93%	69,00%	62,73%	75,69%	50,81%	61,52%	48,83%	38,03%	41,33%	24,90%
960	2013-08-17T00:00:00	72,64%	68,79%	62,54%	75,51%	50,31%	61,15%	48,42%	37,17%	40,81%	24,99%
961	2013-08-18T00:00:00	72,34%	68,36%	62,35%	74,79%	49,81%	60,42%	48,09%	36,14%	40,27%	24,97%
962	2013-08-19T00:00:00	71,97%	68,04%	62,10%	74,61%	49,07%	60,05%	47,86%	34,83%	39,64%	24,88%
963	2013-08-20T00:00:00	71,97%	67,78%	61,54%	74,43%	48,41%	59,87%	47,71%	34,08%	38,98%	24,71%
964	2013-08-21T00:00:00	71,52%	67,51%	61,48%	73,89%	47,75%	59,69%	47,56%	33,63%	38,31%	24,38%
965	2013-08-22T00:00:00	71,15%	67,14%	60,79%	73,89%	47,02%	58,95%	47,33%	33,23%	37,75%	23,89%
966	2013-08-23T00:00:00	70,86%	66,77%	60,67%	73,71%	46,61%	58,59%	46,98%	32,55%	37,23%	23,28%
967	2013-08-24T00:00:00	70,49%	66,50%	60,16%	73,53%	45,97%	58,22%	46,63%	32,06%	36,71%	23,02%
968	2013-08-25T00:00:00	70,12%	66,13%	59,90%	73,17%	45,25%	57,85%	46,43%	33,01%	36,14%	22,02%
969	2013-08-26T00:00:00	69,82%	65,81%	59,74%	72,82%	44,69%	57,48%	46,24%	30,85%	35,61%	21,46%
970	2013-08-27T00:00:00	69,53%	65,54%	59,27%	72,46%	43,89%	57,12%	45,87%	30,33%	35,04%	21,74%
971	2013-08-28T00:00:00	69,24%	65,22%	59,11%	72,28%	43,18%	56,76%	45,70%	29,72%	34,49%	21,84%
972	2013-08-29T00:00:00	68,87%	64,85%	58,70%	72,10%	42,48%	56,76%	45,45%	29,20%	33,92%	21,98%
973	2013-08-30T00:00:00	68,58%	64,64%	58,39%	71,92%	41,86%	56,41%	45,28%	30,09%	33,40%	22,13%
974	2013-08-31T00:00:00	68,29%	64,21%	58,18%	71,39%	41,08%	55,70%	44,87%	27,51%	32,96%	22,34%
975	2013-01-09T00:00:00	67,85%	63,84%	57,86%	70,86%	40,47%	55,34%	44,47%	27,17%	32,56%	22,64%
976	2013-02-09T00:00:00	67,56%	63,42%	57,81%	70,50%	39,86%	54,99%	44,10%	26,70%	32,11%	22,98%
977	2013-03-09T00:00:00	67,20%	63,22%	57,14%	70,32%	39,11%	54,63%	43,80%	25,99%	31,57%	23,27%
978	2013-04-09T00:00:00	66,98%	63,00%	56,88%	70,32%	38,51%	54,63%	43,95%	25,27%	31,07%	23,68%
979	2013-05-09T00:00:00	66,69%	62,85%	56,41%	70,15%	37,77%	53,92%	43,59%	24,78%	30,73%	23,90%
980	2013-06-09T00:00:00	66,48%	62,59%	56,20%	69,44%	37,18%	53,57%	43,18%	24,36%	30,34%	24,06%
981	2013-07-09T00:00:00	66,33%	62,37%	55,78%	69,26%	36,45%	53,21%	43,04%	23,80%	29,85%	24,28%
982	2013-08-09T00:00:00	66,05%	62,15%	55,31%	69,09%	35,87%	52,85%	42,78%	23,17%	29,23%	24,53%
983	2013-09-09T00:00:00	65,83%	62,01%	54,69%	68,91%	35,44%	52,50%	42,53%	22,51%	28,75%	24,89%
984	2013-10-09T00:00:00	65,54%	61,75%	54,53%	68,21%	34,80%	52,14%	42,34%	21,82%	28,35%	25,01%
985	2013-11-09T00:00:00	65,40%	61,49%	54,22%	68,03%	34,09%	51,79%	42,01%	20,81%	27,89%	25,28%
986	2013-12-09T00:00:00	65,18%	61,31%	53,80%	67,86%	33,53%	51,43%	42,01%	20,23%	27,36%	25,52%
987	2013-09-13T00:00:00	64,90%	61,05%	53,49%	67,68%	32,90%	51,43%	41,68%	19,59%	26,84%	25,80%
988	2013-09-14T00:00:00	64,75%	60,87%	53,13%	67,86%	32,07%	51,08%	41,44%	19,19%	26,43%	26,17%
989	2013-09-15T00:00:00	64,54%	60,68%	52,71%	67,51%	31,32%	50,72%	40,90%	18,83%	26,06%	26,78%
990	2013-09-16T00:00:00	64,25%	60,39%	52,55%	66,98%	30,65%	50,37%	40,75%	18,37%	25,60%	27,16%
991	2013-09-17T00:00:00	63,83%	60,24%	52,19%	66,80%	30,18%	50,01%	40,61%	18,28%	25,50%	27,57%
992	2013-09-18T00:00:00	63,61%	60,02%	51,82%	66,11%	29,65%	49,66%	40,54%	18,07%	25,23%	27,91%
993	2013-09-19T00:00:00	63,40%	59,77%	51,35%	65,76%	28,93%	49,30%	40,11%	17,47%	25,10%	28,44%
994	2013-09-20T00:00:00	63,05%	59,58%	50,83%	65,76%	28,34%	49,30%	39,97%	17,04%	24,68%	28,81%
995	2013-09-21T00:00:00	62,69%	59,32%	50,73%	65,41%	27,76%	48,95%	39,64%	16,62%	24,30%	29,18%
996	2013-09-22T00:00:00	62,34%	59,07%	50,36%	65,41%	27,25%	48,59%	39,20%	16,05%	23,91%	29,46%
997	2013-09-23T00:00:00	62,06%	58,92%	50,36%	65,06%	26,99%	48,24%	39,07%	15,69%	23,38%	30,15%
998	2013-09-24T00:00:00	61,78%	58,70%	50,05%	64,54%	26,68%	47,88%	38,95%	15,36%	22,87%	31,29%
999	2013-09-25T00:00:00	61,50%	58,37%	49,79%	64,20%	26,55%	47,53%	38,83%	14,92%	22,44%	31,69%
1000	2013-09-26T00:00:00	61,29%	58,11%	49,38%	63,85%	26,30%	47,53%	38,61%	14,45%	22,02%	32,26%
1001	2013-09-27T00:00:00	61,00%	57,82%	48,96%	63,68%	26,11%	47,17%	37,98%	13,81%	21,45%	32,78%
1002	2013-09-28T00:00:00	60,65%	57,52%	48,70%	63,33%	25,86%	46,82%	37,61%	13,36%	20,95%	33,12%
1003	2013-09-29T00:00:00	60,38%	57,30%	48,33%	63,33%	25,68%	46,82%	37,17%	12,68%	20,46%	33,37%
1004	2013-09-30T00:00:00	60,17%	56,97%	47,86%	62,64%	25,68%	46,46%	36,69%	12,15%	19,92%	33,75%
1005	2013-01-10T00:00:00	59,75%	56,72%	47,55%	62,47%	25,74%	46,10%	36,23%	11,71%	19,41%	34,08%
1006	2013-02-10T00:00:00	59,61%	56,46%	47,40%	62,30%	25,55%	46,46%	35,80%	11,20%	18,97%	34,85%
1007	2013-03-10T00:00:00	59,47%	56,27%	47,86%	63,16%	25,49%	46,10%	35,45%	10,80%	18,47%	32,99%
1008	2013-04-10T00:00:00	59,40%	56,16%	47,71%	63,50%	25,37%	45,75%	35,03%	10,49%	18,11%	28,16%
1009	2013-05-10T00:00:00	59,33%	55,98%	47,45%	63,33%	25,00%	45,39%	34,87%	9,99%	17,55%	25,64%
1010	2013-06-10T00:00:00	59,26%	55,83%	47,24%	62,64%	24,82%	45,04%	34,43%	9,48%	17,06%	26,31%
1011	2013-07-10T00:00:00	59,11%	55,54%	47,03%	61,96%	24,69%	44,68%	34,35%	8,88%	16,55%	27,15%
1012	2013-08-10T00:00:00	59,01%	55,10%	46,61%	61,79%	24,51%	44,33%	34,14%	8,17%	16,04%	28,02%
1013	2013-09-10T00:00:00	58,91%	54,77%	46,15%	61,61%	24,45%	43,97%	33,93%	7,12%	15,46%	28,44%
1014	2013-10-10T00:00:00	58,87%	54,47%	44,58%	61,44%	24,45%	43,97%	33,79%	5,98%	14,99%	29,19%
1015	2013-11-10T00:00:00	58,68%	54,18%	43,25%	61,10%	24,45%	43,62%	33,52%	5,00%	15,22%	29,94%
1016	2013-12-10T00:00:00	58,50%	53,87%	41,67%	60,76%	24,76%	43,26%	33,39%	4,09%	14,04%	31,19%
1017	2013-10-13T00:00:00	58,32%	53,66%	40,37%	60,76%	24,82%	43,26%	33,13%	3,22%	13,51%	31,48%
1018	2013-10-14T00:00:00	58,15%	53,38%	38,95%	60,42%	24,69%	42,91%	33,01%	2,58%	13,10%	32,01%
1019	2013-10-15T00:00:00	57,88%	53,08%	37,67%	59,06%	24,45%	42,91%	32,89%	2,40%	12,63%	32,45%
1020	2013-10-16T00:00:00	57,81%	52,75%	36,10%	58,21%	24,45%	42,55%	32,64%	2,29%	12,16%	32,96%
1021	2013-10-17T00:00:00	57,68%	52,53%	34,94%	57,88%	24,51%	42,20%	32,58%	2,18%	11,77%	33,87%
1022	2013-10-18T00:00:00	57,81%	52,23%	35,48%	59,91%	24,51%	43,62%	32,89%	2,18%	11,77%	34,26%
1023	2013-10-19T00:00:00	58,87%	52,23%	37,31%	59,74%	24,57%	42,55%	32,58%	2,40%	11,99%	36,36%
1024	2013-10-20T00:00:00	58,87%	51,98%	35,99%	59,23%	24,39%	42,20%	32,30%	2,49%	12,13%	37,82%
1025	2013-10-21T00:00:00	58,87%	51,72%	34,54%	58,55%	24,03%	42,20%	32,13%	2,78%	12,23%	39,53%
1026	2013-10-22T00:00:00	58,82%	51,42%	33,11%	57,88%	23,91%	41,84%	31,95%	2,99%	11,96%	41,59%
1027	2013-10-23T00:00:00	58,77%	51,13%	31,73%	57,20%	23,85%	41,84%	31,88%	3,11%	11,53%	42,99%
1028	2013-10-24T00:00:00	58,68%	50,91%	30,23%	57,04%	23,61%	41,49%	31,73%	3,22%	11,08%	41,50%
1029	2013-10-25T00:00:00	58,59%	50,62%	28,59%	56,87%	23,31%	41,13%	31,44%	3,34%	10,56%	36,30%
1030	2013-10-26T00:00:00	58,50%	50,29%	27,06%	56,53%	23,02%	41,13%	31,15%	3,47%	10,09%	37,14%
1031	2013-10-27T00:00:00	58,32%	49,99%	25,29%	56,03%	23,02%	40,78%	30,88%	3,56%	9,68%	39,56%
1032	2013-10-28T00:00:00	58,06%	49,70%	24,01%	55,69%	22,90%	40,42%	30,74%	3,66%	9,18%	39,48%
1033	2013-10-29T00:00:00	57,97%	49,40%	22,51%	55,36%	22,78%	40,42%	30,54%	3,76%	8,71%	40,72%
1034	2013-10-30T00:00:00	57,88%	49,15%	20,82%	55,36%	22,61%	40,07%	30,48%	4,00%	8,27%	41,68%
1035	2013-10-31T00:00:00	57,81%	48,85%	19,44%	55,36%	22,55%	39,71%	30,29%	3,97%	7,73%	42,24%
1036	2013-01-11T00:00:00	57,68%	48,52%	18,21%	55,36%	22,49%	39,71%	30,16%	4,09%	7,20%	43,20%
